时间	开盘	最高	最低	收盘	涨幅	振幅	总手	金额	换手%	成交次数
"2010-09-29,三"	2893.4	2912	2881.4	2894.2	0.10%	1.06%	"136,850"	"119,005,081,000"	--	0
"2010-09-30,四"	2880	2955	2871.6	2953.4	2.05%	2.88%	"189,288"	"165,778,570,000"	--	0
"2010-10-08,五"	2972.6	3073.8	2966.4	3054.2	3.41%	3.64%	"150,243"	"137,063,830,000"	--	0
"2010-10-11,一"	3075	3162.4	3075	3137.6	2.73%	2.86%	"208,814"	"195,742,040,000"	--	0
"2010-10-12,二"	3124.4	3164.2	3123	3154.6	0.54%	1.31%	"172,451"	"162,750,680,000"	--	0
"2010-10-13,三"	3168	3208.8	3161	3206.8	1.65%	1.52%	"182,960"	"174,804,240,000"	--	0
"2010-10-14,四"	3221.4	3253.6	3215.8	3230.8	0.75%	1.18%	"57,606"	"55,889,475,000"	--	0
"2010-10-15,五"	3227	3323	3215.8	3310.6	2.47%	3.32%	"24,387"	"23,959,831,000"	--	0
"2010-10-18,一"	3390	3421.8	3324.2	3329.4	0.57%	2.95%	"302,110"	"305,438,950,000"	--	0
"2010-10-19,二"	3356.6	3434.4	3327.6	3423.8	2.84%	3.21%	"308,628"	"311,909,860,000"	--	0
"2010-10-20,三"	3392.6	3513.2	3377	3458.2	1.00%	3.98%	"378,770"	"391,179,960,000"	--	0
"2010-10-21,四"	3468.8	3492.8	3406.8	3448.8	-0.27%	2.49%	"325,384"	"336,997,970,000"	--	0
"2010-10-22,五"	3455.6	3499	3426.8	3465.4	0.48%	2.09%	"293,741"	"305,331,370,000"	--	0
"2010-10-25,一"	3485	3608	3460	3606	4.06%	4.27%	"256,963"	"272,172,900,000"	--	0
"2010-10-26,二"	3608.2	3618	3521	3558.2	-1.33%	2.69%	"235,559"	"253,242,210,000"	--	0
"2010-10-27,三"	3562.8	3606.2	3473.4	3488	-1.97%	3.73%	"303,622"	"323,156,680,000"	--	0
"2010-10-28,四"	3496	3537.8	3486.2	3513.8	0.74%	1.48%	"248,247"	"261,636,290,000"	--	0
"2010-10-29,五"	3492.4	3498	3401.6	3420	-2.67%	2.74%	"266,654"	"276,152,190,000"	--	0
"2010-11-01,一"	3449.8	3576	3443.2	3555.2	3.95%	3.88%	"227,693"	"240,564,190,000"	--	0
"2010-11-02,二"	3559.4	3587.8	3498.2	3500.4	-1.54%	2.52%	"260,699"	"276,601,980,000"	--	0
"2010-11-03,三"	3533	3534.4	3451	3472.2	-0.81%	2.38%	"286,579"	"300,914,310,000"	--	0
"2010-11-04,四"	3487.6	3538	3472.6	3524.8	1.51%	1.88%	"236,016"	"248,525,120,000"	--	0
"2010-11-05,五"	3569	3630	3563.4	3578	1.51%	1.89%	"202,498"	"217,847,560,000"	--	0
"2010-11-08,一"	3595	3595.8	3557	3579.6	0.04%	1.08%	"141,259"	"151,491,590,000"	--	0
"2010-11-09,二"	3581.6	3581.6	3528.2	3545.4	-0.96%	1.49%	"137,677"	"146,641,530,000"	--	0
"2010-11-10,三"	3542	3542	3489	3525.8	-0.55%	1.49%	"132,284"	"139,498,750,000"	--	0
"2010-11-11,四"	3520.8	3588.8	3491.4	3502	-0.68%	2.76%	"119,295"	"127,085,565,000"	--	0
"2010-11-12,五"	3488	3506	3253.6	3287	-6.14%	7.21%	"84,398"	"86,258,860,000"	--	0
"2010-11-15,一"	3300	3326	3261.2	3297.6	0.32%	1.97%	"40,184"	"39,688,170,000"	--	0
"2010-11-16,二"	3300.4	3311.4	3158	3170	-3.87%	4.65%	"31,373"	"30,540,730,000"	--	0
"2010-11-17,三"	3158.8	3182.8	3093.6	3102.2	-2.14%	2.81%	"23,723"	"22,363,115,000"	--	0
"2010-11-18,四"	3119.8	3160	3107	3151.8	1.60%	1.71%	"16,252"	"15,312,536,000"	--	0
"2010-11-19,五"	3172.4	3178.8	3083	3121.8	-0.95%	3.04%	"10,471"	"9,828,074,500"	--	0
"2010-11-22,一"	3219.8	3238.6	3165	3189	2.15%	2.36%	"248,086"	"238,571,670,000"	--	0
"2010-11-23,二"	3180	3181.6	3065	3121.4	-2.12%	3.66%	"285,775"	"267,084,260,000"	--	0
"2010-11-24,三"	3110.4	3220.4	3105.2	3197.4	2.43%	3.69%	"292,230"	"278,859,240,000"	--	0
"2010-11-25,四"	3212	3245	3186	3227.6	0.94%	1.85%	"189,336"	"182,629,160,000"	--	0
"2010-11-26,五"	3229.8	3242	3175	3213	-0.45%	2.08%	"209,016"	"201,290,320,000"	--	0
"2010-11-29,一"	3207.6	3238	3170.2	3212	-0.03%	2.11%	"170,248"	"163,535,480,000"	--	0
"2010-11-30,二"	3210.4	3222	3077.8	3153.2	-1.83%	4.49%	"253,848"	"239,359,010,000"	--	0
"2010-12-01,三"	3153.4	3166.6	3126.6	3145.6	-0.24%	1.27%	"178,326"	"168,454,590,000"	--	0
"2010-12-02,四"	3185	3220	3167.8	3167.8	0.71%	1.66%	"160,005"	"153,395,200,000"	--	0
"2010-12-03,五"	3179.8	3190.4	3138.2	3175	0.23%	1.65%	"178,485"	"169,683,010,000"	--	0
"2010-12-06,一"	3189	3207.2	3151	3171	-0.13%	1.77%	"168,030"	"160,144,430,000"	--	0
"2010-12-07,二"	3156.2	3243	3115.2	3221.8	1.60%	4.03%	"225,376"	"214,567,250,000"	--	0
"2010-12-08,三"	3200	3228.8	3157.2	3159.6	-1.93%	2.22%	"167,505"	"161,013,190,000"	--	0
"2010-12-09,四"	3173	3184	3126.2	3139.8	-0.63%	1.83%	"191,446"	"181,465,890,000"	--	0
"2010-12-10,五"	3130.2	3199	3118.4	3171.6	1.01%	2.57%	"197,612"	"186,942,870,000"	--	0
"2010-12-13,一"	3220	3283.6	3191	3275.6	3.28%	2.92%	"191,913"	"186,206,180,000"	--	0
"2010-12-14,二"	3273	3292	3269	3277.8	0.07%	0.70%	"104,371"	"102,682,275,000"	--	0
"2010-12-15,三"	3279.6	3285	3251	3252.8	-0.76%	1.04%	"50,325"	"49,380,371,000"	--	0
"2010-12-16,四"	3255.8	3265.8	3225.8	3228.4	-0.75%	1.23%	"18,075"	"17,628,080,000"	--	0
"2010-12-17,五"	3238.8	3241	3209.4	3221.2	-0.22%	0.98%	"9,782"	"9,461,636,000"	--	0
"2010-12-20,一"	3293	3310	3135	3209.2	-0.37%	5.43%	"222,228"	"214,509,110,000"	--	0
"2010-12-21,二"	3220	3306	3207.4	3303.4	2.94%	3.07%	"205,960"	"201,114,680,000"	--	0
"2010-12-22,三"	3303	3307	3211.4	3243.6	-1.81%	2.89%	"176,758"	"173,385,240,000"	--	0
"2010-12-23,四"	3244.6	3274	3204.4	3218.2	-0.78%	2.15%	"218,391"	"212,007,890,000"	--	0
"2010-12-24,五"	3211.2	3224	3166.8	3196.4	-0.68%	1.78%	"248,186"	"238,256,810,000"	--	0
"2010-12-27,一"	3211	3265	3113	3118.6	-2.43%	4.76%	"262,972"	"252,578,740,000"	--	0
"2010-12-28,二"	3118.6	3127.6	3073.4	3074.2	-1.42%	1.74%	"206,947"	"192,831,850,000"	--	0
"2010-12-29,三"	3070	3095.2	3064.4	3091.6	0.57%	1.00%	"149,470"	"138,044,410,000"	--	0
"2010-12-30,四"	3083	3115	3050.2	3093.8	0.07%	2.10%	"188,796"	"174,841,270,000"	--	0
"2010-12-31,五"	3097.8	3161	3094.4	3157	2.04%	2.15%	"233,054"	"218,875,100,000"	--	0
